Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2.7665,-0.025343501,-69.42110229
2.768,-0.026066451,-69.71518729
2.7695,-0.026852545,-70.02517181
2.771,-0.027709689,-70.35255879
2.7725,-0.028647071,-70.69904628
2.774,-0.029675424,-71.06656007
2.7755,-0.030807348,-71.45729312
2.777,-0.032057709,-71.87375334
2.7785,-0.033444157,-72.3188221
2.78,-0.034987763,-72.79582609
2.7815,-0.036713857,-73.30862654
2.783,-0.038653096,-73.86173051
2.7845,-0.040842872,-74.46043117
2.786,-0.043329158,-75.11098606
2.7875,-0.046168981,-75.82084585
2.789,-0.04943376,-76.59895106
2.7905,-0.053213875,-77.45612121
2.792,-0.057625007,-78.40557172
2.7935,-0.062817082,-79.46360957
2.795,-0.068987083,-80.65058372
2.7965,-0.07639777,-81.9922045
2.798,-0.085405553,-83.52140813
2.7995,-0.096502941,-85.28104363
2.801,-0.11038473,-87.32782934
2.8025,-0.128053945,-89.73831922
2.804,-0.150996173,-92.61813825
2.8055,-0.181474933,-96.11669123
2.807,-0.2230467,-100.4513102
2.8085,-0.281480636,-105.9481329
2.81,-0.366414158,-113.1131954
2.8115,-0.4942117,-122.7575792
2.813,-0.691884514,-136.2099259
2.8145,-0.996198033,-155.6064317
2.816,-1.414746879,176.1306335
2.8175,-1.780200501,137.4432903
2.819,-1.739035587,93.85474608
2.8205,-1.333813581,56.28958683
2.822,-0.92122846,29.20375915
2.8235,-0.632517167,10.63225885
2.825,-0.447749915,-2.292442041
2.8265,-0.329163268,-11.5981241
2.828,-0.250742922,-18.53899725
2.8295,-0.197031542,-23.8820388
2.831,-0.158995303,-28.10754865
2.8325,-0.131245865,-31.52632561
2.834,-0.110468558,-34.34626826
2.8355,-0.094557149,-36.71078652
2.837,-0.082131347,-38.72157531
2.8385,-0.072260666,-40.45253774
2.84,-0.064301635,-41.95855762
2.8415,-0.057798957,-43.28118482
2.843,-0.052423798,-44.45241635
2.8445,-0.047934239,-45.49727082
2.846,-0.044149322,-46.43557919
2.8475,-0.040931643,-47.28325465
2.849,-0.038175442,-48.0532091
2.8505,-0.035798299,-48.75602524
2.852,-0.033735257,-49.40045666
2.8535,-0.031934586,-49.99380498
2.855,-0.0303547,-50.54220773
2.8565,-0.028961873,-51.05086061
2.858,-0.027728527,-51.52419086
2.8595,-0.026631949,-51.96599386
2.861,-0.025653295,-52.37954159
2.8625,-0.024776834,-52.76766966
2.864,-0.023989351,-53.13284751
2.8655,-0.023279683,-53.4772355
2.867,-0.02263835,-53.80273175
2.8685,-0.022057261,-54.11101061
2.87,-0.021529477,-54.40355466
2.8715,-0.021049023,-54.68168138
2.873,-0.020610729,-54.94656539
2.8745,-0.020210107,-55.19925737
2.876,-0.019843246,-55.44069986
2.8775,-0.019506725,-55.67174088
2.879,-0.01919754,-55.89314545
2.8805,-0.018913047,-56.10560545
2.882,-0.018650913,-56.30974821
2.8835,-0.018409069,-56.50614381
2.885,-0.018185678,-56.69531148
2.8865,-0.017979106,-56.87772511
2.888,-0.017787893,-57.05381813
2.8895,-0.017610731,-57.22398771
2.891,-0.017446451,-57.38859847
2.8925,-0.017293997,-57.54798574
2.894,-0.017152421,-57.70245847
2.8955,-0.017020866,-57.85230172
2.897,-0.016898558,-57.99777897
2.8985,-0.016784794,-58.13913411
2.9,-0.016678938,-58.27659321
2.9015,-0.016580408,-58.41036613
2.903,-0.016488678,-58.54064796
2.9045,-0.016403265,-58.66762026
2.906,-0.01632373,-58.79145226
2.9075,-0.016249668,-58.91230182
2.909,-0.016180711,-59.03031645
2.9105,-0.01611652,-59.14563409
2.912,-0.016056783,-59.25838388
2.9135,-0.016001212,-59.36868687
2.915,-0.015949545,-59.47665663
2.9165,-0.015901536,-59.5823998
2.918,-0.015856961,-59.68601666
2.9195,-0.01581561,-59.78760155
2.921,-0.015777292,-59.88724333
2.9225,-0.015741827,-59.98502574
2.924,-0.01570905,-60.08102781
2.9255,-0.015678805,-60.17532415
2.927,-0.01565095,-60.26798528
2.9285,-0.015625351,-60.35907787
2.93,-0.015601885,-60.44866505
2.9315,-0.015580434,-60.53680659
2.933,-0.015560891,-60.62355915
2.9345,-0.015543155,-60.70897649
2.936,-0.015527131,-60.79310961
2.9375,-0.015512732,-60.87600698
2.939,-0.015499873,-60.95771465
2.9405,-0.015488477,-61.03827642
2.942,-0.015478472,-61.11773397
2.9435,-0.01546979,-61.19612698
2.945,-0.015462366,-61.27349328
2.9465,-0.015456139,-61.34986892
2.948,-0.015451053,-61.42528828
2.9495,-0.015447056,-61.49978418
2.951,-0.015444095,-61.57338796
2.9525,-0.015442124,-61.64612956
2.954,-0.015441099,-61.71803761
2.9555,-0.015440976,-61.78913946
2.957,-0.015441716,-61.85946133
2.9585,-0.015443282,-61.92902827
2.96,-0.015445638,-61.9978643
2.9615,-0.015448749,-62.06599244
2.963,-0.015452585,-62.13343473
2.9645,-0.015457115,-62.20021234
2.966,-0.01546231,-62.26634556
2.9675,-0.015468144,-62.33185388
2.969,-0.01547459,-62.39675599
2.9705,-0.015481624,-62.46106989
2.972,-0.015489223,-62.52481283
2.9735,-0.015497365,-62.58800143
2.975,-0.015506029,-62.65065165
2.9765,-0.015515195,-62.71277887
2.978,-0.015524845,-62.77439787
2.9795,-0.015534959,-62.8355229
2.981,-0.015545522,-62.89616768
2.9825,-0.015556517,-62.95634541
2.984,-0.015567927,-63.01606885
2.9855,-0.015579739,-63.07535027
2.987,-0.015591938,-63.13420152
2.9885,-0.015604511,-63.19263404
2.99,-0.015617445,-63.25065885
2.9915,-0.015630728,-63.3082866
2.993,-0.015644347,-63.36552758
2.9945,-0.015658292,-63.42239173
2.996,-0.015672551,-63.47888864
2.9975,-0.015687116,-63.53502759
2.999,-0.015701975,-63.59081756
3.0005,-0.01571712,-63.64626723
3.002,-0.015732541,-63.70138498
3.0035,-0.01574823,-63.75617894
3.005,-0.015764179,-63.81065698
3.0065,-0.01578038,-63.8648267
3.008,-0.015796824,-63.91869547
3.0095,-0.015813506,-63.97227045
3.011,-0.015830418,-64.02555853
3.0125,-0.015847554,-64.07856644
3.014,-0.015864906,-64.13130067
3.0155,-0.015882469,-64.18376753
3.017,-0.015900237,-64.23597311
3.0185,-0.015918205,-64.28792337
3.02,-0.015936366,-64.33962404
3.0215,-0.015954716,-64.39108071
3.023,-0.01597325,-64.44229881
3.0245,-0.015991963,-64.4932836
3.026,-0.01601085,-64.54404018
3.0275,-0.016029906,-64.59457352
3.029,-0.016049129,-64.64488845
3.0305,-0.016068512,-64.69498966
3.032,-0.016088053,-64.74488169
3.0335,-0.016107747,-64.79456898
3.035,-0.016127592,-64.84405584
3.0365,-0.016147582,-64.89334645
3.038,-0.016167716,-64.94244489
3.0395,-0.016187989,-64.99135512
3.041,-0.016208399,-65.040081
3.0425,-0.016228942,-65.08862629
3.044,-0.016249615,-65.13699463
3.0455,-0.016270417,-65.1851896
3.047,-0.016291343,-65.23321464
3.0485,-0.016312391,-65.28107314
3.05,-0.016333559,-65.32876839
3.0515,-0.016354844,-65.37630358
3.053,-0.016376244,-65.42368185
3.0545,-0.016397757,-65.47090622
3.056,-0.01641938,-65.51797968
3.0575,-0.016441111,-65.5649051
3.059,-0.016462948,-65.61168531
3.0605,-0.016484889,-65.65832306
3.062,-0.016506933,-65.70482102
3.0635,-0.016529077,-65.75118182
3.065,-0.016551319,-65.79740802
3.0665,-0.016573658,-65.84350209
3.068,-0.016596093,-65.88946647
3.0695,-0.01661862,-65.93530354
3.071,-0.01664124,-65.98101561
3.0725,-0.01666395,-66.02660495
3.074,-0.016686749,-66.07207376
3.0755,-0.016709635,-66.11742421
3.077,-0.016732608,-66.1626584
3.0785,-0.016755665,-66.20777839
3.08,-0.016778806,-66.25278619
3.0815,-0.016802029,-66.29768377
3.083,-0.016825333,-66.34247306
3.0845,-0.016848716,-66.38715593
3.086,-0.016872179,-66.43173422
3.0875,-0.016895719,-66.47620972
3.089,-0.016919335,-66.5205842
3.0905,-0.016943027,-66.56485936
3.092,-0.016966793,-66.6090369
3.0935,-0.016990633,-66.65311844
