"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
-15,2.8385,-0.00611147144684229,-72.7232449616968
-15,2.839,-0.00611253622173078,-72.7361140131726
-15,2.8395,-0.00611360115476961,-72.7489830917102
-15,2.84,-0.00611466624598874,-72.7618521973103
-15,2.8405,-0.00611573149542298,-72.7747213299732
-15,2.841,-0.0061167969031023,-72.7875904896995
-15,2.8415,-0.00611786246906536,-72.8004596764898
-15,2.842,-0.00611892819334116,-72.8133288903445
-15,2.8425,-0.00611999407595968,-72.8261981312642
-15,2.843,-0.00612106011695572,-72.8390673992494
-15,2.8435,-0.00612212631636311,-72.8519366943006
-15,2.844,-0.00612319267421279,-72.8648060164184
-15,2.8445,-0.00612425919053667,-72.8776753656031
-15,2.845,-0.00612532586536953,-72.8905447418555
-15,2.8455,-0.00612639269874136,-72.9034141451758
-15,2.846,-0.00612745969068793,-72.9162835755647
-15,2.8465,-0.00612852684123919,-72.9291530330226
-15,2.847,-0.00612959415042899,-72.9420225175501
-15,2.8475,-0.00613066161828731,-72.9548920291477
-15,2.848,-0.00613172924484989,-72.9677615678158
-15,2.8485,-0.0061327970301448,-72.980631133555
-15,2.849,-0.00613386497420972,-72.9935007263657
-15,2.8495,-0.00613493307707269,-73.0063703462483
-15,2.85,-0.00613600133877141,-73.0192399932036
-15,2.8505,-0.00613706975933296,-73.0321096672318
-15,2.851,-0.00613813833878925,-73.0449793683335
-15,2.8515,-0.00613920707717892,-73.0578490965091
-15,2.852,-0.00614027597452907,-73.0707188517593
-15,2.8525,-0.00614134503087352,-73.0835886340843
-15,2.853,-0.00614241424624321,-73.0964584434847
-15,2.8535,-0.00614348362067199,-73.109328279961
-15,2.854,-0.00614455315419077,-73.1221981435137
-15,2.8545,-0.00614562284683534,-73.1350680341432
-15,2.855,-0.00614669269863374,-73.14793795185
-15,2.8555,-0.00614776270962172,-73.1608078966345
-15,2.856,-0.00614883287982927,-73.1736778684972
-15,2.8565,-0.00614990320928731,-73.1865478674386
-15,2.857,-0.00615097369803163,-73.1994178934592
-15,2.8575,-0.00615204434609025,-73.2122879465593
-15,2.858,-0.00615311515350185,-73.2251580267395
-15,2.8585,-0.00615418612029253,-73.2380281340002
