Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
3.1955,-0.023725494,-70.16048243
3.197,-0.023763424,-70.19616324
3.1985,-0.023801409,-70.23184234
3.2,-0.023839449,-70.2675198
3.2015,-0.023877545,-70.30319566
3.203,-0.023915697,-70.33887
3.2045,-0.023953904,-70.37454287
3.206,-0.023992166,-70.41021431
3.2075,-0.024030485,-70.44588439
3.209,-0.024068859,-70.48155316
3.2105,-0.024107289,-70.51722067
3.212,-0.024145774,-70.55288697
3.2135,-0.024184316,-70.58855212
3.215,-0.024222913,-70.62421616
3.2165,-0.024261567,-70.65987914
3.218,-0.024300276,-70.69554112
3.2195,-0.024339041,-70.73120214
3.221,-0.024377863,-70.76686225
3.2225,-0.024416741,-70.8025215
3.224,-0.024455674,-70.83817992
3.2255,-0.024494665,-70.87383757
3.227,-0.024533711,-70.9094945
3.2285,-0.024572814,-70.94515073
3.23,-0.024611973,-70.98080633
3.2315,-0.024651189,-71.01646132
3.233,-0.024690461,-71.05211576
3.2345,-0.024729789,-71.08776968
3.236,-0.024769175,-71.12342312
3.2375,-0.024808617,-71.15907613
3.239,-0.024848115,-71.19472875
3.2405,-0.024887671,-71.230381
3.242,-0.024927283,-71.26603294
3.2435,-0.024966952,-71.3016846
3.245,-0.025006678,-71.33733601
3.2465,-0.025046461,-71.37298722
3.248,-0.025086301,-71.40863825
3.2495,-0.025126198,-71.44428916
3.251,-0.025166153,-71.47993996
3.2525,-0.025206164,-71.5155907
3.254,-0.025246233,-71.55124141
3.2555,-0.025286359,-71.58689212
3.257,-0.025326543,-71.62254287
3.2585,-0.025366784,-71.65819369
3.26,-0.025407082,-71.69384461
3.2615,-0.025447438,-71.72949566
3.263,-0.025487851,-71.76514688
3.2645,-0.025528323,-71.8007983
3.266,-0.025568852,-71.83644995
3.2675,-0.025609438,-71.87210185
3.269,-0.025650083,-71.90775405
3.2705,-0.025690785,-71.94340656
3.272,-0.025731545,-71.97905942
3.2735,-0.025772364,-72.01471265
3.275,-0.02581324,-72.05036629
3.2765,-0.025854175,-72.08602036
3.278,-0.025895167,-72.12167488
3.2795,-0.025936218,-72.1573299
3.281,-0.025977328,-72.19298543
3.2825,-0.026018495,-72.2286415
3.284,-0.026059721,-72.26429813
3.2855,-0.026101006,-72.29995536
3.287,-0.026142349,-72.33561321
3.2885,-0.02618375,-72.3712717
3.29,-0.02622521,-72.40693085
3.2915,-0.026266729,-72.4425907
3.293,-0.026308307,-72.47825127
3.2945,-0.026349944,-72.51391258
3.296,-0.026391639,-72.54957465
3.2975,-0.026433393,-72.58523751
3.299,-0.026475207,-72.62090119
3.3005,-0.026517079,-72.65656569
3.302,-0.026559011,-72.69223106
3.3035,-0.026601002,-72.7278973
3.305,-0.026643052,-72.76356444
3.3065,-0.026685161,-72.79923251
3.308,-0.02672733,-72.83490152
3.3095,-0.026769558,-72.8705715
3.311,-0.026811846,-72.90624246
3.3125,-0.026854193,-72.94191443
3.314,-0.0268966,-72.97758743
3.3155,-0.026939067,-73.01326147
3.317,-0.026981593,-73.04893658
3.3185,-0.027024179,-73.08461279
3.32,-0.027066825,-73.12029009
3.3215,-0.027109531,-73.15596853
3.323,-0.027152297,-73.19164811
3.3245,-0.027195123,-73.22732885
3.326,-0.027238009,-73.26301078
3.3275,-0.027280955,-73.29869391
3.329,-0.027323962,-73.33437826
3.3305,-0.027367029,-73.37006385
3.332,-0.027410156,-73.40575069
3.3335,-0.027453344,-73.4414388
3.335,-0.027496592,-73.47712821
3.3365,-0.027539901,-73.51281892
3.338,-0.02758327,-73.54851096
3.3395,-0.0276267,-73.58420434
3.341,-0.027670191,-73.61989908
3.3425,-0.027713743,-73.65559519
3.344,-0.027757355,-73.6912927
3.3455,-0.027801029,-73.72699161
3.347,-0.027844763,-73.76269194
3.3485,-0.027888559,-73.79839372
3.35,-0.027932416,-73.83409694
3.3515,-0.027976334,-73.86980164
3.353,-0.028020313,-73.90550782
3.3545,-0.028064353,-73.9412155
3.356,-0.028108455,-73.9769247
3.3575,-0.028152619,-74.01263543
3.359,-0.028196844,-74.0483477
3.3605,-0.02824113,-74.08406153
3.362,-0.028285478,-74.11977693
3.3635,-0.028329888,-74.15549393
3.365,-0.02837436,-74.19121252
3.3665,-0.028418893,-74.22693273
3.368,-0.028463489,-74.26265456
3.3695,-0.028508146,-74.29837804
3.371,-0.028552866,-74.33410317
3.3725,-0.028597647,-74.36982998
3.374,-0.028642491,-74.40555846
3.3755,-0.028687397,-74.44128865
3.377,-0.028732365,-74.47702054
3.3785,-0.028777396,-74.51275415
3.38,-0.028822489,-74.54848949
3.3815,-0.028867645,-74.58422658
3.383,-0.028912863,-74.61996543
3.3845,-0.028958144,-74.65570605
3.386,-0.029003487,-74.69144845
3.3875,-0.029048894,-74.72719265
3.389,-0.029094363,-74.76293866
3.3905,-0.029139895,-74.79868648
3.392,-0.02918549,-74.83443613
3.3935,-0.029231148,-74.87018763
