"cs_high [mm]","dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
18,-10,2.817,-0.00874530951442288,-105.849185615179
18,-10,2.818,-0.00874790863814905,-105.886925174321
18,-10,2.819,-0.00875050793700247,-105.924664858659
18,-10,2.82,-0.00875310741076802,-105.962404668151
18,-10,2.821,-0.00875570705924219,-106.000144602754
18,-10,2.822,-0.00875830688220697,-106.037884662426
18,-10,2.823,-0.00876090687945691,-106.075624847123
18,-10,2.824,-0.00876350705077883,-106.113365156803
18,-10,2.825,-0.00876610739595957,-106.151105591423
18,-10,2.826,-0.00876870791478981,-106.188846150939
18,-10,2.827,-0.00877130860705347,-106.226586835309
18,-10,2.828,-0.00877390947254317,-106.264327644489
18,-10,2.829,-0.00877651051103801,-106.302068578436
18,-10,2.83,-0.0087791117223306,-106.339809637107
18,-10,2.831,-0.00878171310619909,-106.377550820459
18,-10,2.832,-0.00878431466244285,-106.415292128447
18,-10,2.833,-0.00878691639083324,-106.453033561029
18,-10,2.834,-0.00878951829115902,-106.49077511816
18,-10,2.835,-0.00879212036320896,-106.528516799798
18,-10,2.836,-0.00879472260676407,-106.566258605898
18,-10,2.837,-0.00879732502160731,-106.604000536416
18,-10,2.838,-0.00879992760752166,-106.64174259131
18,-10,2.839,-0.00880253036429489,-106.679484770534
18,-10,2.84,-0.00880513329170127,-106.717227074045
18,-10,2.841,-0.00880773638953053,-106.7549695018
18,-10,2.842,-0.00881033965756079,-106.792712053752
18,-10,2.843,-0.00881294309557597,-106.83045472986
18,-10,2.844,-0.00881554670335422,-106.868197530078
18,-10,2.845,-0.00881815048067946,-106.905940454362
18,-10,2.846,-0.00882075442732884,-106.943683502668
18,-10,2.847,-0.00882335854308051,-106.98142667495
18,-10,2.848,-0.00882596282772224,-107.019169971166
18,-10,2.849,-0.00882856728102638,-107.05691339127
18,-10,2.85,-0.00883117190277781,-107.094656935217
18,-10,2.851,-0.00883377669274694,-107.132400602964
18,-10,2.852,-0.00883638165071769,-107.170144394464
18,-10,2.853,-0.00883898677646434,-107.207888309674
18,-10,2.854,-0.00884159206976983,-107.245632348548
18,-10,2.855,-0.00884419753040651,-107.283376511041
18,-10,2.856,-0.00884680315815057,-107.321120797109
18,-10,2.857,-0.00884940895278207,-107.358865206706
18,-10,2.858,-0.00885201491407335,-107.396609739788
18,-10,2.859,-0.0088546210418035,-107.434354396308
18,-10,2.86,-0.00885722733574679,-107.472099176222
18,-10,2.861,-0.00885983379567653,-107.509844079485
18,-10,2.862,-0.00886244042136504,-107.54758910605
18,-10,2.863,-0.00886504721259527,-107.585334255873
18,-10,2.864,-0.00886765416913186,-107.623079528907
18,-10,2.865,-0.00887026129075291,-107.660824925108
18,-10,2.866,-0.00887286857722883,-107.69857044443
18,-10,2.867,-0.00887547602833775,-107.736316086827
18,-10,2.868,-0.00887808364384525,-107.774061852252
18,-10,2.869,-0.00888069142352848,-107.811807740661
18,-10,2.87,-0.00888329936715303,-107.849553752007
18,-10,2.871,-0.00888590747449508,-107.887299886245
18,-10,2.872,-0.00888851574533083,-107.925046143328
18,-10,2.873,-0.00889112417941814,-107.962792523209
18,-10,2.874,-0.00889373277653513,-108.000539025844
18,-10,2.875,-0.0088963415364522,-108.038285651186
18,-10,2.876,-0.00889895045893588,-108.076032399188
18,-10,2.877,-0.00890155954375659,-108.113779269804
18,-10,2.878,-0.00890416879068279,-108.151526262987
18,-10,2.879,-0.00890677819948488,-108.189273378692
18,-10,2.88,-0.00890938776992457,-108.227020616871
18,-10,2.881,-0.00891199750178096,-108.264767977478
18,-10,2.882,-0.00891460739481188,-108.302515460466
18,-10,2.883,-0.00891721744878775,-108.340263065788
18,-10,2.884,-0.00891982766347317,-108.378010793398
18,-10,2.885,-0.00892243803863757,-108.415758643248
18,-10,2.886,-0.00892504857404459,-108.453506615293
18,-10,2.887,-0.00892765926946174,-108.491254709483
18,-10,2.888,-0.00893027012465266,-108.529002925774
18,-10,2.889,-0.00893288113938387,-108.566751264117
18,-10,2.89,-0.0089354923134171,-108.604499724465
18,-10,2.891,-0.00893810364652081,-108.642248306771
18,-10,2.892,-0.00894071513845671,-108.679997010987
18,-10,2.893,-0.00894332678898651,-108.717745837067
18,-10,2.894,-0.00894593859787577,-108.755494784962
18,-10,2.895,-0.00894855056488814,-108.793243854625
18,-10,2.896,-0.00895116268978146,-108.830993046009
18,-10,2.897,-0.00895377497232226,-108.868742359066
