"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
6,2.75,-0.0195519043564026,164.767463352608
6,2.7505,-0.0195564511568844,164.730032336178
6,2.751,-0.0195610757545967,164.692563956562
6,2.7515,-0.0195657821092772,164.655056805877
6,2.752,-0.0195705744341572,164.61750940423
6,2.7525,-0.0195754572157245,164.579920195052
6,2.753,-0.0195804352353061,164.54228754007
6,2.7535,-0.0195855135926674,164.504609713872
6,2.754,-0.0195906977318494,164.466884898038
6,2.7545,-0.0195959934694863,164.429111174782
6,2.755,-0.019601407025884,164.391286520076
6,2.7555,-0.0196069450591653,164.353408796186
6,2.756,-0.0196126147028295,164.315475743576
6,2.7565,-0.0196184236071544,164.277484972106
6,2.757,-0.0196243799848281,164.239433951456
6,2.7575,-0.019630492661406,164.201320000699
6,2.758,-0.0196367711310918,164.163140276923
6,2.7585,-0.0196432256185651,164.124891762813
6,2.759,-0.019649867147573,164.086571253064
6,2.7595,-0.0196567076171765,164.048175339515
6,2.76,-0.0196637598866061,164.009700394836
6,2.7605,-0.0196710378699149,163.971142554629
6,2.761,-0.019678556641681,163.932497697734
6,2.7615,-0.0196863325552821,163.893761424548
6,2.762,-0.0196943833755202,163.854929033103
6,2.7625,-0.0197027284275597,163.815995492639
6,2.763,-0.0197113887645541,163.776955414352
6,2.7635,-0.0197203873566756,163.737803018965
6,2.764,-0.0197297493047467,163.698532100711
6,2.7645,-0.0197395020821816,163.659135987252
6,2.765,-0.0197496758096186,163.619607494992
6,2.7655,-0.0197603035674216,163.579938879157
6,2.766,-0.0197714217520683,163.540121777901
6,2.7665,-0.0197830704837097,163.500147149608
6,2.767,-0.0197952940734112,163.460005202386
6,2.7675,-0.0198081415602758,163.419685314594
6,2.768,-0.0198216673307316,163.37917594506
6,2.7685,-0.0198359318345915,163.338464531375
6,2.769,-0.0198510024156081,163.297537374392
6,2.7695,-0.0198669542779458,163.256379506681
6,2.77,-0.019883871614597,163.214974542285
6,2.7705,-0.0199018489295258,163.17330450461
6,2.771,-0.0199209925925273,163.131349628623
